epoch,train_loss,val_loss,precision,recall,mAP
1,49.737363110210985,55.140950788531384,0.005291005291005291,0.011477761836441894,9.415767966171e-05
2,46.553226678888535,53.73561260156464,0.007155635062611807,0.02295552367288379,0.0003921745674921028
3,45.19023992498182,52.30288495515522,0.0070234113712374585,0.03012912482065997,0.009005615130063472
4,43.71085731374554,52.69780082033392,0.01049195616693868,0.06456241032998565,0.009693508684124393
5,42.313172432282606,51.42771453188177,0.007543103448275862,0.06025824964131994,0.010653333779721125
6,40.60769322371529,53.35039587188185,0.005671296296296297,0.0703012912482066,0.00391491249989373
7,38.53756227841075,52.50590531867847,0.008297413793103448,0.11047345767575323,0.019697578566642303
8,36.216085813965314,53.23225188673588,0.009764884338263178,0.14777618364418937,0.024737963099087806
9,33.81889303284277,52.93819829037315,0.008109203946479253,0.17216642754662842,0.029115980079680283
10,31.05468544035635,55.98825113396896,0.0056927170348369536,0.13199426111908177,0.00957544095433075
11,28.30175624195765,54.586800023129115,0.007755398091837304,0.1994261119081779,0.030833363305425278
12,26.005163164925897,55.17987017045941,0.008826508464766314,0.1750358680057389,0.017988955039327258
13,24.060288049620997,55.46267051027532,0.008709231785692835,0.20803443328550933,0.024825609452808102
14,22.294280106733034,55.64976136726246,0.008924449915371595,0.24964131994261118,0.028810705468893517
15,20.42122156871715,55.32218451248972,0.010027956727847332,0.23672883787661406,0.03093645119445712
16,19.103626229987263,55.31938439084772,0.009462859643365058,0.24820659971305595,0.02924977694669919
17,17.49784251632251,55.75259670458342,0.00835052064993209,0.2381635581061693,0.03240490950967197
18,16.41871574789915,55.55466019479852,0.00912370040314025,0.2467718794835007,0.04507184942991286
19,15.469987552591569,56.331000210946065,0.008839506172839505,0.2568149210903874,0.02986484824629427
20,14.36101077696641,55.43665614881014,0.008098663926002055,0.28263988522238165,0.024665015327768942
21,13.14506222913453,55.994972831324525,0.008168028004667444,0.2812051649928264,0.03667311561279253
22,12.332225770273045,56.30911669814796,0.007993197278911564,0.2697274031563845,0.0240430713719556
23,11.371757912956136,56.76476307919151,0.007735447689035003,0.28694404591104733,0.03497253237863434
24,10.50591781089036,56.736697146767064,0.008120548896994963,0.2682926829268293,0.03522087383230278
25,9.875531917066812,55.900479902300916,0.007091139807419572,0.27259684361549497,0.03190357957515659
